case,from_node,to_node,evidence_status,source,delay_rule,baseline_split,split_status,limitations
CDO,U,J0,report-supported coarse relationship,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,B4 is a coarse connected-lateral aggregate. Minor topology and branch areas are absent. R is NOT a demonstrated Lapasan inundation node. No Lapasan edge is inferred from proximity.
CDO,T,J0,report-supported coarse relationship,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,B4 is a coarse connected-lateral aggregate. Minor topology and branch areas are absent. R is NOT a demonstrated Lapasan inundation node. No Lapasan edge is inferred from proximity.
CDO,J0,J1,report-supported coarse relationship,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,B4 is a coarse connected-lateral aggregate. Minor topology and branch areas are absent. R is NOT a demonstrated Lapasan inundation node. No Lapasan edge is inferred from proximity.
CDO,B,J1,report-supported coarse relationship,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,B4 is a coarse connected-lateral aggregate. Minor topology and branch areas are absent. R is NOT a demonstrated Lapasan inundation node. No Lapasan edge is inferred from proximity.
CDO,J1,R,report-supported coarse relationship,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,B4 is a coarse connected-lateral aggregate. Minor topology and branch areas are absent. R is NOT a demonstrated Lapasan inundation node. No Lapasan edge is inferred from proximity.
CDO,L,R,report-supported coarse relationship,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,B4 is a coarse connected-lateral aggregate. Minor topology and branch areas are absent. R is NOT a demonstrated Lapasan inundation node. No Lapasan edge is inferred from proximity.
CDO,R,O,report-supported coarse relationship,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,B4 is a coarse connected-lateral aggregate. Minor topology and branch areas are absent. R is NOT a demonstrated Lapasan inundation node. No Lapasan edge is inferred from proximity.
MANADO,U,S0,conceptual storage/control ordering from report; not surveyed,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics.",zero-delay control connector,1.0,all routed load to next coarse node,"Controls are functional aggregates, not surveyed chainage. Zero-delay connector edges avoid adding travel merely because a storage box was drawn. Hydropower operation is not simulated. Release times are hypothetical."
MANADO,S0,S1,conceptual storage/control ordering from report; not surveyed,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics.",zero-delay control connector,1.0,all routed load to next coarse node,"Controls are functional aggregates, not surveyed chainage. Zero-delay connector edges avoid adding travel merely because a storage box was drawn. Hydropower operation is not simulated. Release times are hypothetical."
MANADO,S1,S2,conceptual storage/control ordering from report; not surveyed,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics.",zero-delay control connector,1.0,all routed load to next coarse node,"Controls are functional aggregates, not surveyed chainage. Zero-delay connector edges avoid adding travel merely because a storage box was drawn. Hydropower operation is not simulated. Release times are hypothetical."
