scenario_id,duration,shape,spread,weights,activation,delay,memory,rep
0,2,block,0,equal,all,unit,0.0,0
1,2,block,0,equal,all,unit,0.0,1
2,2,block,0,equal,all,unit,0.0,2
3,2,block,0,equal,all,unit,0.0,3
4,2,block,0,equal,all,unit,2.0,0
5,2,block,0,equal,all,unit,2.0,1
6,2,block,0,equal,all,unit,2.0,2
7,2,block,0,equal,all,unit,2.0,3
8,2,block,0,equal,all,heterogeneous,0.0,0
9,2,block,0,equal,all,heterogeneous,0.0,1
10,2,block,0,equal,all,heterogeneous,0.0,2
11,2,block,0,equal,all,heterogeneous,0.0,3
12,2,block,0,equal,all,heterogeneous,2.0,0
13,2,block,0,equal,all,heterogeneous,2.0,1
14,2,block,0,equal,all,heterogeneous,2.0,2
15,2,block,0,equal,all,heterogeneous,2.0,3
16,2,block,0,equal,subset,unit,0.0,0
17,2,block,0,equal,subset,unit,0.0,1
18,2,block,0,equal,subset,unit,0.0,2
19,2,block,0,equal,subset,unit,0.0,3
20,2,block,0,equal,subset,unit,2.0,0
21,2,block,0,equal,subset,unit,2.0,1
22,2,block,0,equal,subset,unit,2.0,2
23,2,block,0,equal,subset,unit,2.0,3
24,2,block,0,equal,subset,heterogeneous,0.0,0
25,2,block,0,equal,subset,heterogeneous,0.0,1
26,2,block,0,equal,subset,heterogeneous,0.0,2
27,2,block,0,equal,subset,heterogeneous,0.0,3
28,2,block,0,equal,subset,heterogeneous,2.0,0
29,2,block,0,equal,subset,heterogeneous,2.0,1
30,2,block,0,equal,subset,heterogeneous,2.0,2
31,2,block,0,equal,subset,heterogeneous,2.0,3
32,2,block,0,random,all,unit,0.0,0
33,2,block,0,random,all,unit,0.0,1
34,2,block,0,random,all,unit,0.0,2
35,2,block,0,random,all,unit,0.0,3
36,2,block,0,random,all,unit,2.0,0
37,2,block,0,random,all,unit,2.0,1
38,2,block,0,random,all,unit,2.0,2
39,2,block,0,random,all,unit,2.0,3
40,2,block,0,random,all,heterogeneous,0.0,0
41,2,block,0,random,all,heterogeneous,0.0,1
42,2,block,0,random,all,heterogeneous,0.0,2
43,2,block,0,random,all,heterogeneous,0.0,3
44,2,block,0,random,all,heterogeneous,2.0,0
45,2,block,0,random,all,heterogeneous,2.0,1
46,2,block,0,random,all,heterogeneous,2.0,2
47,2,block,0,random,all,heterogeneous,2.0,3
48,2,block,0,random,subset,unit,0.0,0
49,2,block,0,random,subset,unit,0.0,1
50,2,block,0,random,subset,unit,0.0,2
51,2,block,0,random,subset,unit,0.0,3
52,2,block,0,random,subset,unit,2.0,0
53,2,block,0,random,subset,unit,2.0,1
54,2,block,0,random,subset,unit,2.0,2
55,2,block,0,random,subset,unit,2.0,3
56,2,block,0,random,subset,heterogeneous,0.0,0
57,2,block,0,random,subset,heterogeneous,0.0,1
58,2,block,0,random,subset,heterogeneous,0.0,2
59,2,block,0,random,subset,heterogeneous,0.0,3
60,2,block,0,random,subset,heterogeneous,2.0,0
61,2,block,0,random,subset,heterogeneous,2.0,1
62,2,block,0,random,subset,heterogeneous,2.0,2
63,2,block,0,random,subset,heterogeneous,2.0,3
64,2,block,8,equal,all,unit,0.0,0
65,2,block,8,equal,all,unit,0.0,1
66,2,block,8,equal,all,unit,0.0,2
67,2,block,8,equal,all,unit,0.0,3
68,2,block,8,equal,all,unit,2.0,0
69,2,block,8,equal,all,unit,2.0,1
70,2,block,8,equal,all,unit,2.0,2
71,2,block,8,equal,all,unit,2.0,3
72,2,block,8,equal,all,heterogeneous,0.0,0
73,2,block,8,equal,all,heterogeneous,0.0,1
74,2,block,8,equal,all,heterogeneous,0.0,2
75,2,block,8,equal,all,heterogeneous,0.0,3
76,2,block,8,equal,all,heterogeneous,2.0,0
77,2,block,8,equal,all,heterogeneous,2.0,1
78,2,block,8,equal,all,heterogeneous,2.0,2
79,2,block,8,equal,all,heterogeneous,2.0,3
80,2,block,8,equal,subset,unit,0.0,0
81,2,block,8,equal,subset,unit,0.0,1
82,2,block,8,equal,subset,unit,0.0,2
83,2,block,8,equal,subset,unit,0.0,3
84,2,block,8,equal,subset,unit,2.0,0
85,2,block,8,equal,subset,unit,2.0,1
86,2,block,8,equal,subset,unit,2.0,2
87,2,block,8,equal,subset,unit,2.0,3
88,2,block,8,equal,subset,heterogeneous,0.0,0
89,2,block,8,equal,subset,heterogeneous,0.0,1
90,2,block,8,equal,subset,heterogeneous,0.0,2
91,2,block,8,equal,subset,heterogeneous,0.0,3
92,2,block,8,equal,subset,heterogeneous,2.0,0
93,2,block,8,equal,subset,heterogeneous,2.0,1
94,2,block,8,equal,subset,heterogeneous,2.0,2
95,2,block,8,equal,subset,heterogeneous,2.0,3
96,2,block,8,random,all,unit,0.0,0
97,2,block,8,random,all,unit,0.0,1
98,2,block,8,random,all,unit,0.0,2
99,2,block,8,random,all,unit,0.0,3
100,2,block,8,random,all,unit,2.0,0
101,2,block,8,random,all,unit,2.0,1
102,2,block,8,random,all,unit,2.0,2
103,2,block,8,random,all,unit,2.0,3
104,2,block,8,random,all,heterogeneous,0.0,0
105,2,block,8,random,all,heterogeneous,0.0,1
106,2,block,8,random,all,heterogeneous,0.0,2
107,2,block,8,random,all,heterogeneous,0.0,3
