case,storage_tau,role,spread,duration,memory,mean_spill_fraction,overflow_share
CDO,0.0,urban_and_receiver,0,2,0.0,0.4909961146405621,0.9192708333333334
CDO,0.0,urban_and_receiver,0,2,2.0,0.19348434133368067,0.5677083333333334
CDO,0.0,urban_and_receiver,0,8,0.0,0.27252213371887263,0.6731770833333334
CDO,0.0,urban_and_receiver,0,8,2.0,0.16188584281907095,0.484375
CDO,0.0,urban_and_receiver,0,24,0.0,0.10234551947628197,0.3268229166666667
CDO,0.0,urban_and_receiver,0,24,2.0,0.0789060643670453,0.2916666666666667
CDO,0.0,urban_and_receiver,8,2,0.0,0.42519852210360654,0.8619791666666666
CDO,0.0,urban_and_receiver,8,2,2.0,0.18489024261052392,0.5559895833333334
CDO,0.0,urban_and_receiver,8,8,0.0,0.2416331553476914,0.6119791666666666
CDO,0.0,urban_and_receiver,8,8,2.0,0.1463183393331278,0.4583333333333333
CDO,0.0,urban_and_receiver,8,24,0.0,0.09345131476138012,0.3216145833333333
CDO,0.0,urban_and_receiver,8,24,2.0,0.07550898258575466,0.29296875
CDO,0.0,urban_and_receiver,24,2,0.0,0.33424532700260995,0.7513020833333334
CDO,0.0,urban_and_receiver,24,2,2.0,0.13633208310717354,0.49609375
CDO,0.0,urban_and_receiver,24,8,0.0,0.15466888934327253,0.4713541666666667
CDO,0.0,urban_and_receiver,24,8,2.0,0.09793707159679867,0.3776041666666667
CDO,0.0,urban_and_receiver,24,24,0.0,0.06386769735563437,0.265625
CDO,0.0,urban_and_receiver,24,24,2.0,0.0560268978758735,0.25
HATYAI,0.0,receiver,0,2,0.0,0.5733942062210716,0.9544270833333334
HATYAI,0.0,receiver,0,2,2.0,0.21311522696454352,0.625
HATYAI,0.0,receiver,0,8,0.0,0.3139094909258141,0.7161458333333334
HATYAI,0.0,receiver,0,8,2.0,0.17406783415431873,0.5208333333333334
HATYAI,0.0,receiver,0,24,0.0,0.10922522427672765,0.3333333333333333
HATYAI,0.0,receiver,0,24,2.0,0.08434662573103119,0.2916666666666667
HATYAI,0.0,receiver,8,2,0.0,0.3719595868086551,0.8125
HATYAI,0.0,receiver,8,2,2.0,0.16988609741026242,0.515625
HATYAI,0.0,receiver,8,8,0.0,0.23472282747366516,0.6106770833333334
HATYAI,0.0,receiver,8,8,2.0,0.14698651766127382,0.4309895833333333
HATYAI,0.0,receiver,8,24,0.0,0.09581541635228596,0.33203125
HATYAI,0.0,receiver,8,24,2.0,0.07795574863054887,0.2916666666666667
HATYAI,0.0,receiver,24,2,0.0,0.24382481419835475,0.640625
HATYAI,0.0,receiver,24,2,2.0,0.09705560705943733,0.3763020833333333
HATYAI,0.0,receiver,24,8,0.0,0.13123898661652186,0.4361979166666667
HATYAI,0.0,receiver,24,8,2.0,0.08536251901724069,0.3450520833333333
HATYAI,0.0,receiver,24,24,0.0,0.05811792587632083,0.2578125
HATYAI,0.0,receiver,24,24,2.0,0.049987819664753186,0.23307291666666666
HATYAI,0.0,urban,0,2,0.0,0.6033436796296572,0.9778645833333334
HATYAI,0.0,urban,0,2,2.0,0.35575278210872874,0.8684895833333334
HATYAI,0.0,urban,0,8,0.0,0.32177213854235903,0.7278645833333334
HATYAI,0.0,urban,0,8,2.0,0.24706297602056415,0.625
HATYAI,0.0,urban,0,24,0.0,0.1103589588256151,0.3333333333333333
HATYAI,0.0,urban,0,24,2.0,0.0996624097164281,0.3333333333333333
HATYAI,0.0,urban,8,2,0.0,0.3979971854941082,0.8411458333333334
HATYAI,0.0,urban,8,2,2.0,0.25138462910646314,0.671875
HATYAI,0.0,urban,8,8,0.0,0.23898087013394634,0.6158854166666666
HATYAI,0.0,urban,8,8,2.0,0.19065854561860784,0.5455729166666666
HATYAI,0.0,urban,8,24,0.0,0.09648326268398527,0.33203125
HATYAI,0.0,urban,8,24,2.0,0.09009009031129712,0.3190104166666667
HATYAI,0.0,urban,24,2,0.0,0.2681734401656061,0.68359375
HATYAI,0.0,urban,24,2,2.0,0.1509905038081487,0.5104166666666666
HATYAI,0.0,urban,24,8,0.0,0.13384194595274762,0.44921875
HATYAI,0.0,urban,24,8,2.0,0.10963620438756083,0.3932291666666667
HATYAI,0.0,urban,24,24,0.0,0.0585609504939092,0.2578125
HATYAI,0.0,urban,24,24,2.0,0.05633505576524323,0.24739583333333334
HUE,0.0,receiver,0,2,0.0,0.4637505669684195,0.8880208333333334
HUE,0.0,receiver,0,2,2.0,0.16315844234766252,0.4765625
HUE,0.0,receiver,0,8,0.0,0.26599236189568465,0.64453125
HUE,0.0,receiver,0,8,2.0,0.13918330466277687,0.42578125
HUE,0.0,receiver,0,24,0.0,0.1010582555737608,0.3268229166666667
HUE,0.0,receiver,0,24,2.0,0.07193148743326391,0.2890625
HUE,0.0,receiver,8,2,0.0,0.4147108510575415,0.8567708333333334
HUE,0.0,receiver,8,2,2.0,0.1511509995074278,0.48046875
HUE,0.0,receiver,8,8,0.0,0.23230386725717925,0.6015625
HUE,0.0,receiver,8,8,2.0,0.12964384509322066,0.4231770833333333
HUE,0.0,receiver,8,24,0.0,0.09256756234195003,0.3203125
HUE,0.0,receiver,8,24,2.0,0.06851409540498295,0.28125
HUE,0.0,receiver,24,2,0.0,0.3276102088625236,0.7421875
HUE,0.0,receiver,24,2,2.0,0.11515725102060263,0.4140625
HUE,0.0,receiver,24,8,0.0,0.15294524513190924,0.46484375
HUE,0.0,receiver,24,8,2.0,0.08716687425910902,0.3502604166666667
HUE,0.0,receiver,24,24,0.0,0.06446307821627696,0.26953125
HUE,0.0,receiver,24,24,2.0,0.051124100117296366,0.2421875
HUE,0.0,urban,0,2,0.0,0.18361355007056498,0.6575520833333334
HUE,0.0,urban,0,2,2.0,0.06655474579564508,0.3567708333333333
HUE,0.0,urban,0,8,0.0,0.08144395748996049,0.3815104166666667
HUE,0.0,urban,0,8,2.0,0.041819086271181354,0.2513020833333333
HUE,0.0,urban,0,24,0.0,0.015087091441865067,0.12630208333333334
HUE,0.0,urban,0,24,2.0,0.012423441730635927,0.11197916666666667
HUE,0.0,urban,8,2,0.0,0.15543011876706933,0.6028645833333334
HUE,0.0,urban,8,2,2.0,0.04550366276052748,0.29296875
HUE,0.0,urban,8,8,0.0,0.05969005680591096,0.3111979166666667
HUE,0.0,urban,8,8,2.0,0.035407962622438706,0.23046875
HUE,0.0,urban,8,24,0.0,0.011100552614817906,0.10286458333333333
HUE,0.0,urban,8,24,2.0,0.009771586816808566,0.09895833333333333
HUE,0.0,urban,24,2,0.0,0.14161698975378215,0.56640625
HUE,0.0,urban,24,2,2.0,0.033319836611877575,0.23567708333333334
HUE,0.0,urban,24,8,0.0,0.04748308880677452,0.2682291666666667
HUE,0.0,urban,24,8,2.0,0.024191405243899983,0.1875
HUE,0.0,urban,24,24,0.0,0.012658476960925877,0.11588541666666667
HUE,0.0,urban,24,24,2.0,0.006197109726670689,0.078125
HUE,2.0,receiver,0,2,0.0,0.3100762552333353,0.7877604166666666
HUE,2.0,receiver,0,2,2.0,0.14123371672667248,0.43359375
HUE,2.0,receiver,0,8,0.0,0.2127355393541628,0.58203125
HUE,2.0,receiver,0,8,2.0,0.12362128957108191,0.4036458333333333
HUE,2.0,receiver,0,24,0.0,0.09182580404778996,0.3203125
HUE,2.0,receiver,0,24,2.0,0.06592940721329389,0.2799479166666667
HUE,2.0,receiver,8,2,0.0,0.2833070917892393,0.74609375
HUE,2.0,receiver,8,2,2.0,0.1330295357788238,0.4309895833333333
HUE,2.0,receiver,8,8,0.0,0.19352050974106075,0.5442708333333334
HUE,2.0,receiver,8,8,2.0,0.11633693758860719,0.3932291666666667
HUE,2.0,receiver,8,24,0.0,0.085752696723386,0.3125
HUE,2.0,receiver,8,24,2.0,0.06315117459485313,0.2747395833333333
HUE,2.0,receiver,24,2,0.0,0.20847917889178716,0.625
HUE,2.0,receiver,24,2,2.0,0.10413830904219051,0.3919270833333333
HUE,2.0,receiver,24,8,0.0,0.12915916297310195,0.4348958333333333
HUE,2.0,receiver,24,8,2.0,0.07824909961817773,0.3229166666666667
HUE,2.0,receiver,24,24,0.0,0.060290255439451435,0.2604166666666667
HUE,2.0,receiver,24,24,2.0,0.04802779947723204,0.22916666666666666
HUE,2.0,urban,0,2,0.0,0.08659377270679568,0.46484375
HUE,2.0,urban,0,2,2.0,0.0498757754482835,0.28515625
HUE,2.0,urban,0,8,0.0,0.0566687523122095,0.3203125
HUE,2.0,urban,0,8,2.0,0.03401744675693232,0.22786458333333334
HUE,2.0,urban,0,24,0.0,0.01290932646388434,0.12109375
HUE,2.0,urban,0,24,2.0,0.01109944756340297,0.09765625
HUE,2.0,urban,8,2,0.0,0.07592729744437375,0.4088541666666667
HUE,2.0,urban,8,2,2.0,0.034333967226381774,0.23046875
HUE,2.0,urban,8,8,0.0,0.04310556173842193,0.2682291666666667
HUE,2.0,urban,8,8,2.0,0.028998760420788278,0.20572916666666666
HUE,2.0,urban,8,24,0.0,0.009561388318608496,0.10026041666666667
HUE,2.0,urban,8,24,2.0,0.008733279317526325,0.09114583333333333
HUE,2.0,urban,24,2,0.0,0.0612818610224978,0.3802083333333333
HUE,2.0,urban,24,2,2.0,0.024578523574464658,0.18619791666666666
HUE,2.0,urban,24,8,0.0,0.03266462894295647,0.22526041666666666
HUE,2.0,urban,24,8,2.0,0.019478986652968718,0.15104166666666666
