case,role,spread,mean_spill_fraction,overflow_share,mean_SI
CDO,urban_and_receiver,0,0.21669000272591896,0.5438368055555556,0.8279082250563813
CDO,urban_and_receiver,8,0.1945000927903474,0.5171440972222222,0.7892495235083705
CDO,urban_and_receiver,24,0.1405129943802271,0.4353298611111111,0.6706770373030498
HATYAI,receiver,0,0.24467643471225115,0.5735677083333334,0.9695260562962322
HATYAI,receiver,8,0.1828876990561152,0.4989149305555556,0.8301690435456767
HATYAI,receiver,24,0.11093127873877144,0.3815104166666667,0.637171519063339
HATYAI,urban,0,0.2896588241405587,0.6443142361111112,0.9518761594812513
HATYAI,urban,8,0.21093243055806798,0.5542534722222222,0.7797160516223093
HATYAI,urban,24,0.12958968342886928,0.4236111111111111,0.6091505516977561
HUE,receiver,0,0.20084573648026138,0.5084635416666666,0.8091107925980228
HUE,receiver,8,0.1814818701103837,0.4939236111111111,0.7808127219851868
HUE,receiver,24,0.13307779293461963,0.4138454861111111,0.6635686748768989
HUE,urban,0,0.06682364546664216,0.3142361111111111,0.9812941383372097
HUE,urban,8,0.05281732339792882,0.2732204861111111,0.9165252410079925
HUE,urban,24,0.0442444845173218,0.2419704861111111,0.8142030568423859
KADAMAIAN,urban_and_receiver,0,0.2561108566837936,0.6002604166666666,0.9198574237701719
KADAMAIAN,urban_and_receiver,8,0.22466537813003276,0.5588107638888888,0.837531687989488
KADAMAIAN,urban_and_receiver,24,0.17918916716274136,0.4880642361111111,0.7343037153536566
KURANJI,urban_and_receiver,0,0.2665244622816531,0.6076388888888888,0.9635029750894906
KURANJI,urban_and_receiver,8,0.20422239387162688,0.5319010416666666,0.8211485076547146
KURANJI,urban_and_receiver,24,0.13921864406100323,0.4266493055555556,0.6609793087632164
MANADO,urban_and_receiver,0,0.25764038326635286,0.6013454861111112,0.9243120350912858
MANADO,urban_and_receiver,8,0.22601166873327713,0.5616319444444444,0.840833255944426
MANADO,urban_and_receiver,24,0.17784088435485493,0.48828125,0.734133219177652
